iteration,_is_super,_lambda,_scale_factor,n_m,tcs_m,af_m,af_p
0,0,0.1,1,1.2,1,0.0491096,0.0055
0,0,0.1,0.75,1.2,1,0.0493322,0.005375
0,0,1,1,1.2,1,0.0498661,0.0055
0,0,1,0.75,1.2,1,0.0498995,0.005375
0,0,10,1,1.2,1,0.0499634,0.0055
0,0,10,0.75,1.2,1,0.0499725,0.005375
0,0,100,1,1.2,1,0.0499955,0.005084
0,0,100,0.75,1.2,1,0.0499966,0.005063
0,0,1000,1,1.2,1,0.0499996,0.00500862
0,0,1000,0.75,1.2,1,0.0499997,0.00500646
1,0,0.1,1,1.2,1,0.0493809,0.005
1,0,0.1,0.75,1.2,1,0.0495022,0.005125
1,0,1,1,1.2,1,0.0497191,0.005
1,0,1,0.75,1.2,1,0.0497558,0.005125
1,0,10,1,1.2,1,0.0497644,0.00500259
1,0,10,0.75,1.2,1,0.0497898,0.00512694
1,0,100,1,1.2,1,0.0498554,0.00544554
1,0,100,0.75,1.2,1,0.0498581,0.00545915
1,0,1000,1,1.2,1,0.049865,0.0054945
1,0,1000,0.75,1.2,1,0.0498653,0.00549588
2,0,0.1,1,1.20004,1.00003,0.0508098,0.004995
2,0,0.1,0.75,1.20003,1.00002,0.0505736,0.00511988
2,0,1,1,1.20001,1.00001,0.05004,0.004995
2,0,1,0.75,1.20001,1,0.0499962,0.00511988
2,0,10,1,1.2,1,0.049945,0.00503983
2,0,10,0.75,1.2,1,0.049925,0.0051535
2,0,100,1,1.2,1,0.0498731,0.0054435
2,0,100,0.75,1.2,1,0.049871,0.00545625
2,0,1000,1,1.2,1,0.0498658,0.00548934
2,0,1000,0.75,1.2,1,0.0498656,0.00549063
