name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.05,0.0225,0.005,0.095,0.01,0.0224929,-0.0349858,0.0549858
ALPHA_M,0.005,0.00225,0.0005,0.0095,0.00176087,0.00224703,-0.0027332,0.00625494
N_P,1.6,0.4875,0.625,2.575,1.57819,0.487218,0.603755,2.55263
N_M,1.5,0.4875,0.525,2.475,1.48881,0.486705,0.515404,2.46222
WR_P,0.1,0.0875,-0.075,0.275,0.148661,0.0874932,-0.0263254,0.323647
WR_M,0.12,0.0875,-0.055,0.295,0.153005,0.08741,-0.021815,0.327825
TCS_P,0.4,0.325,-0.25,1.05,0.415016,0.324624,-0.234231,1.06426
TCS_M,1,0.45,0.1,1.9,0.989609,0.449674,0.0902606,1.88896
TCD_P,0.07,0.245,-0.42,0.56,0.0906612,0.244762,-0.398862,0.580185
TCD_M,1,0.25,0.5,1.5,0.996633,0.24999,0.496654,1.49661
AF_P,1.5,0.25,1,2,1.50088,0.249997,1.00088,2.00087
AF_M,1.5,0.25,1,2,1.50043,0.249999,1.00043,2.00043
AUF_P,0.5,0.175,0.15,0.85,0.495401,0.174995,0.145411,0.845391
AUF_M,0.7,0.175,0.35,1.05,0.699876,0.175,0.349877,1.04988
POR_P,0.5,0.1625,0.175,0.825,0.558712,0.162448,0.233815,0.883608
POR_M,0.5,0.125,0.25,0.75,0.502688,0.124948,0.252793,0.752583
PERM_P,1e-10,2.475e-10,-3.95e-10,5.95e-10,4.77473e-11,2.47213e-10,-4.46678e-10,5.42172e-10
PERM_M,1e-12,2.475e-12,-3.95e-12,5.95e-12,1e-13,2.37224e-12,-4.64448e-12,4.84448e-12
DEN_P,900,325,250,1550,900,325,250,1550
DEN_M,2300,175,1950,2650,2300,175,1950,2650
