,Case1_su_cv_rw,Case5_su_cv_rw,Case5_III_su_cv_rw
alpha_p,0.0025,0.0112732,0.00687462
alpha_m,0.00181381,0.000475278,0.00257492
n_p,2.04969,1.48723,1.50115
n_m,2.05003,0.0,0.0
wr_p,0.228023,0.178925,0.134712
wr_m,0.161782,0.0,0.0
tcs_p,0.442337,0.0,0.0
tcs_m,0.951793,0.0,0.0
tcd_p,0.1037,0.0,0.0
tcd_m,0.984239,0.0,0.0
af_p,1.50507,0.0,0.0
af_m,1.49941,0.0,0.0
auf_p,0.485737,0.0,0.0
auf_m,0.698884,0.0,0.0
por_p,0.638408,0.421524,0.646619
por_m,0.481638,0.362321,0.483211
perm_p,1.33666e-11,1.33666e-11,9.35659e-11
perm_m,1.18799e-13,3.04505e-14,7.1936e-14
den_p,900.0,0.0,0.0
den_m,1900.0,0.0,0.0
b_bc,268.45,268.45,268.45
